,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
277,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-13,9,C,moyennes,3,1.7,5,47.70566,-3.40123
395,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-11,21,C,moyennes,3,1.4,5,47.75319,-3.49849
278,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-13,12,C,moyennes,3,1.7,5,47.70566,-3.40123
239,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-13,21,C,moyennes,3,1.6,5,47.7058556,-3.3855627
238,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-13,18,C,moyennes,3,1.6,5,47.7058556,-3.3855627
237,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-13,15,C,moyennes,3,1.7,5,47.7058556,-3.3855627
236,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-13,12,C,moyennes,3,1.7,5,47.7058556,-3.3855627
235,larmor-plage,toulhars,larmor-plage toulhars,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/toulhars,2023-08-13,9,C,moyennes,3,1.7,5,47.7058556,-3.3855627
368,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-14,12,C,moyennes,2,1.1,6,47.76222,-3.52245
618,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-14,6,C,moyennes,2,1.1,6,47.5141954,-3.151623
605,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-11,21,C,moyennes,2,1.2,6,47.5141954,-3.151623
604,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-11,18,C,moyennes,2,1.2,6,47.5141954,-3.151623
326,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-14,12,C,moyennes,2,1.1,6,48.0295,-4.63722
370,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-14,18,C,moyennes,2,1.0,6,47.76222,-3.52245
580,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-14,18,C,moyennes,2,1.1,6,47.3196443,-3.2298395
603,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-11,15,C,moyennes,2,1.1,6,47.5141954,-3.151623
579,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-14,15,C,moyennes,2,1.1,6,47.3196443,-3.2298395
602,saint-pierre-quiberon,port-bara,saint-pierre-quiberon port-bara,https://www.surf-sentinel.com/surf-report/france/morbihan/saint-pierre-quiberon/port-bara,2023-08-11,12,C,moyennes,2,1.1,6,47.5141954,-3.151623
159,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-14,15,C,moyennes,2,0.9,6,47.664549,-3.2256925
325,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-14,9,C,moyennes,2,1.2,6,48.0295,-4.63722
157,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-14,9,C,moyennes,2,1.0,6,47.664549,-3.2256925
156,plouhinec,kervegant,plouhinec kervegant,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/kervegant,2023-08-14,6,C,moyennes,2,1.1,6,47.664549,-3.2256925
581,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-14,21,C,moyennes,2,1.0,6,47.3196443,-3.2298395
348,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-11,6,C,moyennes,2,1.1,6,47.76222,-3.52245
